n	repo	bank	stars	license	last_commit	6mo_commits	authors_sample	maintainer_response_sample	adoption	description
1	chatwoot/chatwoot	BANK	36763	NOASSERTION	2026-09-11	893	9	0	absent	Open-source live-chat, email support, omni-channel desk. An alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬
2	papercups-io/papercups	NEW	6105	MIT	2022-05-10	0	0	0	absent	Open-source live customer chat
3	freescout-help-desk/freescout	BANK	4534	AGPL-3.0	2026-09-12	461	2	2	absent	FreeScout — Free self-hosted omnichannel AI-powered helpdesk & shared mailbox
4	zammad/zammad	BANK	5908	AGPL-3.0	2026-09-11	1483	8	0	absent	Zammad is a web based open source helpdesk/customer support system.
5	erxes/erxes	NEW	4079	NOASSERTION	2026-09-13	1573	7	0	absent	Experience Operating System (XOS) that unifies marketing, sales, operations, and support — run your core business seamlessly while replacing HubSpot, Zendesk, Linear,
6	espocrm/espocrm	BANK	3346	AGPL-3.0	2026-09-11	1057	1	0	absent	EspoCRM – Open Source CRM Application
7	SuiteCRM/SuiteCRM	BANK	5739	AGPL-3.0	2026-09-03	55	7	0	absent	SuiteCRM - Open source CRM for the world
8	frappe/crm	BANK	3521	AGPL-3.0	2026-09-11	1705	3	0	absent	Fully featured, open source CRM
9	twentyhq/twenty	BANK	56693	NOASSERTION	2026-09-13	4673	9	0	absent	The open alternative to Salesforce, designed for AI.
10	odoo/odoo	BANK	54332	NOASSERTION	2026-09-13	3621	17	0	absent	Odoo. Open Source Apps To Grow Your Business.
11	Dolibarr/dolibarr	BANK	7603	GPL-3.0	2026-09-13	4735	2	0	absent	Dolibarr ERP CRM is a modern software package to manage your company or foundation's activity (contacts, suppliers, invoices, orders, stocks, agenda, accounting,
12	frappe/erpnext	BANK	39178	GPL-3.0	2026-09-13	4124	6	0	absent	Free and Open Source Enterprise Resource Planning (ERP)
13	documenso/documenso	BANK	15005	AGPL-3.0	2026-09-11	326	9	1	absent	The Open Source DocuSign Alternative.
14	docusealco/docuseal	BANK	18512	AGPL-3.0	2026-09-07	465	2	0	absent	Open source DocuSign alternative. Create, fill, and sign digital documents ✍️
15	LibreSign/libresign	BANK	811	AGPL-3.0	2026-09-12	4914	4	0	absent	Control how your documents get signed
16	OpenSignLabs/OpenSign	BANK	6986	NOASSERTION	2026-08-21	42	3	0	absent	🔥 The free & Open Source DocuSign alternative
17	calcom/cal.diy	BANK	48430	MIT	2026-09-12	182	16	0	{'resolved': 0, 'dependent_repos': None, 'dependent_pkgs': None, 'downloads': None, 'reach_percentile': None, 'fame_gap': None}	Scheduling infrastructure for absolutely everyone.
18	BookStackApp/BookStack	BANK	19038	MIT	2026-09-12	199	2	2	absent	NOW MANAGED ON CODEBERG
19	sabre-io/dav	BANK	1721	BSD-3-Clause	2026-08-02	48	4	1	absent	sabre/dav is a CalDAV, CardDAV and WebDAV framework for PHP
20	kewisch/ical.js	BANK	1178	MPL-2.0	2026-06-02	2	2	0	absent	Javascript parser for ics (rfc5545) and vcard (rfc6350) data
21	icalendar/icalendar	NEW	1205	NOASSERTION	2026-09-11	17	6	1	absent	icalendar.rb main repository
22	nextcloud/server	BANK	36791	AGPL-3.0	2026-09-13	4183	6	0	absent	☁️ Nextcloud server, a safe home for all your data
23	nextcloud/calendar	NEW	1184	AGPL-3.0	2026-09-13	859	8	1	absent	📆 Calendar app for Nextcloud
24	nextcloud/deck	NEW	1421	AGPL-3.0	2026-09-13	539	5	0	absent	🗂 Kanban-style project & personal management tool for Nextcloud, similar to Trello
25	nextcloud/spreed	NEW	2189	AGPL-3.0	2026-09-13	2048	5	2	absent	🗨️ Nextcloud Talk – chat, video & audio calls for Nextcloud
26	nocodb/nocodb	BANK	64955	NOASSERTION	2026-09-12	4088	6	0	absent	🔥 🔥 🔥 A Free & Self-hostable Airtable Alternative
27	baserow/baserow	BANK	5870	NOASSERTION	2026-09-11	599	8	0	absent	Build databases, automations, apps & agents with AI — no code. Open source platform available on cloud and self-hosted. GDPR, HIPAA, SOC
28	directus/directus	BANK	37887	NOASSERTION	2026-09-11	398	10	1	absent	The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom
29	strapi/strapi	BANK	73141	NOASSERTION	2026-09-11	976	8	0	absent	🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.
30	payloadcms/payload	BANK	44717	MIT	2026-09-10	857	7	0	{'resolved': 1, 'dependent_repos': 440, 'dependent_pkgs': 121, 'downloads': 265293, 'reach_percentile': 99.2, 'fame_gap': 29.2}	Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use
31	AppFlowy-IO/AppFlowy	BANK	76593	AGPL-3.0	2026-06-26	2	1	0	absent	Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of
32	outline/outline	BANK	40528	NOASSERTION	2026-09-13	1275	4	0	absent	The fastest knowledge base for growing teams. Beautiful, realtime collaborative, feature packed, and markdown compatible.
33	makeplane/plane	BANK	59320	AGPL-3.0	2026-09-10	219	10	1	absent	🔥🔥🔥 Open-source Jira, Linear, Monday, and ClickUp alternative. Plane is a modern project management platform to manage tasks, sprints, docs, and triage.
34	Leantime/leantime	BANK	11571	AGPL-3.0	2026-09-07	403	8	2	absent	Leantime is a goals focused project management system for non-project managers. Building with ADHD, Autism, and dyslexia in mind.
35	kanboard/kanboard	BANK	9863	MIT	2026-09-11	68	5	0	absent	Kanban project management software
36	opf/openproject	BANK	16092	GPL-3.0	2026-09-13	9139	9	0	absent	OpenProject is the leading open source project management software for product, project and portfolio management. A powerful Jira alternative with agile planning,
37	taigaio/taiga-back	NEW	850	MPL-2.0	2026-09-09	32	3	0	absent	
38	gitroomhq/postiz-app	BANK	35754	AGPL-3.0	2026-09-12	525	3	0	absent	📨 The ultimate agentic social media scheduling tool 🤖
39	inovector/mixpost	BANK	3694	MIT	2026-03-16	4	1	1	absent	📅 Schedule, 📢 publish, and ⚡ manage your social media content on your server. No subscriptions, no limits. (Buffer alternative)
40	socioboard/Socioboard-5.0	NEW	1505	NOASSERTION	2026-08-17	7	3	0	absent	Socioboard is world's first and open source Social Technology Enabler. Socioboard Core is our flagship product.
41	socioboard/socioboard-core	NEW	246	None	2017-09-18	0	0	0	absent	This is an old repo, for latest maintained version go here - https://github.com/socioboard/Socioboard-Core-3.0
42	shlinkio/shlink	BANK	5281	MIT	2026-09-10	114	1	0	absent	The definitive self-hosted URL shortener
43	YOURLS/YOURLS	NEW	12221	MIT	2026-09-07	64	3	2	absent	🔗 The 𝘥𝘦 𝘧𝘢𝘤𝘵𝘰 standard, self hosted, powerful and customizable, URL shortener in PHP
44	thedevs-network/kutt	NEW	11090	MIT	2026-09-03	18	3	1	absent	Free Modern URL Shortener.
45	dubinc/dub	NEW	24742	NOASSERTION	2026-09-13	2524	3	0	absent	The modern link attribution platform. Loved by world-class marketing teams like Framer, Perplexity, Superhuman, Twilio, Buffer and more.
46	mautic/mautic	BANK	10496	NOASSERTION	2026-09-11	4251	4	1	absent	Mautic: Open Source Marketing Automation Software.
47	knadh/listmonk	BANK	23394	AGPL-3.0	2026-09-05	109	14	0	absent	High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.
48	Mailtrain-org/mailtrain	NEW	5750	GPL-3.0	2022-12-11	0	0	0	absent	Self hosted newsletter app
49	postalserver/postal	BANK	16806	MIT	2026-09-13	15	3	1	absent	📮 A fully featured open source mail delivery platform for incoming & outgoing e-mail
50	Mailu/Mailu	NEW	7509	NOASSERTION	2026-08-17	82	4	0	absent	Insular email distribution - mail server as Docker images
51	foxcpp/maddy	NEW	6086	GPL-3.0	2026-07-13	45	4	0	absent	✉️ Composable all-in-one mail server.
52	akeneo/pim-community-dev	BANK	1042	NOASSERTION	2026-08-28	8	1	0	absent	[Community Development Repository] The open source Product Information Management (PIM)
53	pimcore/pimcore	BANK	3847	NOASSERTION	2026-09-10	544	9	0	absent	Core Framework for the Open Core Data & Experience Management Platform (PIM, MDM, CDP, DAM, DXP/CMS & Digital Commerce)
54	alchemy-fr/Phraseanet	NEW	273	NOASSERTION	2026-08-07	13	4	0	absent	Digital Asset Management PHP app
55	resourcespace/resourcespace	BANK	68	NOASSERTION	2026-09-12	128	0	0	absent	Open source Digital Asset Management software for your organisation's digital assets such as photos, videos, illustrations and audio.
56	LycheeOrg/Lychee	BANK	4290	MIT	2026-09-12	407	4	0	absent	A great looking and easy-to-use photo-management-system you can run on your server, to manage and share photos.
57	immich-app/immich	NEW	114012	AGPL-3.0	2026-09-13	1436	12	1	absent	High performance self-hosted photo and video management solution.
58	photoprism/photoprism	NEW	40188	NOASSERTION	2026-09-13	1600	1	1	absent	AI-Powered Photos App 🌈💎✨
59	Piwigo/Piwigo	NEW	3856	GPL-2.0	2026-09-01	28	6	0	absent	Manage your photos with Piwigo, a full featured open source photo gallery application for the web. Star us on Github! More than
60	thumbor/thumbor	BANK	10517	MIT	2026-09-03	95	2	2	absent	thumbor is an open-source photo thumbnail service by globo.com
61	imgproxy/imgproxy	NEW	11063	Apache-2.0	2026-09-12	205	3	0	absent	Fast and secure standalone server for resizing, processing, and converting images on the fly
62	lovell/sharp	BANK	32658	Apache-2.0	2026-09-13	149	8	1	absent	High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library.
63	libvips/libvips	NEW	11636	LGPL-2.1	2026-09-13	220	7	2	absent	A fast image processing library with low memory needs.
64	ImageMagick/ImageMagick	NEW	17409	NOASSERTION	2026-09-13	921	2	2	absent	ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line
65	FFmpeg/FFmpeg	NEW	64179	NOASSERTION	2026-09-13	3115	9	0	absent	Mirror of https://git.ffmpeg.org/ffmpeg.git
66	PyAV-Org/PyAV	BANK	3282	BSD-3-Clause	2026-09-02	193	5	1	absent	﻿﻿Pythonic bindings for FFmpeg's libraries.
67	ffmpegwasm/ffmpeg.wasm	BANK	17801	MIT	2025-09-17	0	0	0	absent	FFmpeg for browser, powered by WebAssembly
68	SubtitleEdit/subtitleedit	NEW	14178	MIT	2026-09-13	7795	1	0	absent	the subtitle editor :)
69	Aegisub/Aegisub	NEW	3381	NOASSERTION	2019-10-06	0	0	0	absent	Cross-platform advanced subtitle editor
70	plausible/analytics	BANK	29060	AGPL-3.0	2026-09-11	320	11	0	absent	Open source, privacy-first web analytics. Lightweight, cookie-free Google Analytics alternative. Self-hosted or cloud.
71	umami-software/umami	BANK	38781	MIT	2026-08-20	716	4	0	{'resolved': 1, 'dependent_repos': 1, 'dependent_pkgs': 1, 'downloads': 1114, 'reach_percentile': 91.4, 'fame_gap': -32.4}	Umami is a privacy-first analytics platform. Traffic, campaigns, behavior, conversions, and revenue in one place — no cookies, no surveillance, self-hosted or
72	matomo-org/matomo	BANK	21863	GPL-3.0	2026-09-11	574	8	2	absent	Empowering People Ethically 🚀 — Matomo is hiring! Join us → https://matomo.org/jobs Matomo is the leading open-source alternative to Google Analytics, giving
73	rudderlabs/rudder-server	NEW	4486	NOASSERTION	2026-09-11	278	9	0	absent	Privacy and Security focused Segment-alternative, in Golang and React
74	snowplow/snowplow	BANK	7035	Apache-2.0	2026-06-26	40	1	0	absent	The leader in Customer Data Infrastructure
75	metabase/metabase	BANK	49228	NOASSERTION	2026-09-13	3937	13	0	absent	The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:
76	apache/superset	BANK	74744	Apache-2.0	2026-09-13	3706	8	0	{'resolved': 1, 'dependent_repos': 145, 'dependent_pkgs': 24, 'downloads': 535009, 'reach_percentile': 99.3, 'fame_gap': 46.6}	Apache Superset is a Data Visualization and Data Exploration Platform
77	lightdash/lightdash	BANK	6135	NOASSERTION	2026-09-11	7572	8	2	absent	Agentic BI. Analytics at the speed of code ⚡️
78	getredash/redash	BANK	28793	BSD-2-Clause	2026-09-03	25	10	0	{'resolved': 0, 'dependent_repos': 0, 'dependent_pkgs': 0, 'downloads': None, 'reach_percentile': 70.4, 'fame_gap': None}	Make Your Company Data Driven. Connect to any data source, easily visualize, dashboard and share your data.
79	airbytehq/airbyte	BANK	22055	NOASSERTION	2026-09-12	7613	6	0	absent	Open-source data movement for ELT pipelines and AI agents — from APIs, databases & files to warehouses, lakes, and AI applications. Both
80	meltano/meltano	BANK	2624	MIT	2026-09-09	369	7	0	{'resolved': 1, 'dependent_repos': 42, 'dependent_pkgs': 1, 'downloads': 887992, 'reach_percentile': 96.6, 'fame_gap': -19.8}	Meltano: the declarative code-first data integration engine that powers your wildest data and ML-powered product ideas. Say goodbye to writing, maintaining, and
81	singer-io/tap-facebook	NEW	119	AGPL-3.0	2026-07-24	9	3	0	absent	Singer.io tap for Facebook Marketing API
82	singer-io/tap-google-analytics	NEW	26	AGPL-3.0	2025-08-07	0	0	0	absent	
83	googleapis/python-analytics-data	NEW	162	Apache-2.0	2023-10-31	0	0	0	absent	This library has moved to https://github.com/googleapis/google-cloud-python/tree/main/packages/google-analytics-data
84	googleads/google-ads-python	BANK	747	Apache-2.0	2026-09-09	27	4	0	absent	Google Ads API Client Library for Python
85	facebook/facebook-python-business-sdk	NEW	1593	NOASSERTION	2026-09-04	22	1	0	absent	Python SDK for Meta Marketing APIs
86	facebook/facebook-nodejs-business-sdk	NEW	618	NOASSERTION	2026-08-25	21	1	0	absent	Node.js SDK for Meta Marketing APIs
87	xdevplatform/twitter-api-typescript-sdk	BANK	994	Apache-2.0	2022-10-21	0	0	0	absent	A TypeScript SDK for the Twitter API
